Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.025	101478.16	101478.16	101478.16	101478.16	0	0	0	10194.7	0	0	3
2	3	0	0.05	101350.286	101414.223	101350.286	101478.16	63.9368401	0	0	9047.73	0	0	3
3	4	0	0.075	101339.964	101389.47	101339.964	101478.16	88.6898567	0	0	10621.4	0	0	3
4	4	0	0.1	101339.111	101376.881	101339.111	101478.16	101.279574	0	0	11193	0	0	3
5	5	0	0.125	101346.705	101370.845	101339.111	101478.16	107.314759	0	0	10554.8	0	0	3
6	5	0	0.15	101340.381	101365.768	101339.111	101478.16	112.392072	0	0	10081.8	0	0	3
7	5	0	0.175	101338.756	101361.909	101338.756	101478.16	116.250951	0	0	8926.76	0	0	3
8	6	0	0.2	101337.799	101358.895	101337.799	101478.16	119.264774	0	0	7252.02	0	0	3
9	6	0	0.225	101337.605	101356.53	101337.605	101478.16	121.630319	0	0	5557.68	0	0	3
10	6	0	0.25	101336.242	101354.501	101336.242	101478.16	123.659059	0	0	4351.25	0	0	3
11	7	0	0.275	101336.344	101352.85	101336.242	101478.16	125.309689	0	0	3328.88	0	0	3
12	7	0	0.3	101335.469	101351.402	101335.469	101478.16	126.75811	0	0	2505.54	0	0	3
13	8	0	0.325	101335.28	101350.162	101335.28	101478.16	127.998245	0	0	2747.72	0	0	3
14	8	0	0.35	101334.676	101349.056	101334.676	101478.16	129.104354	0	0	2912.99	0	0	3
15	8	0	0.375	101334.532	101348.088	101334.532	101478.16	130.072601	0	0	2820.51	0	0	3
16	9	0	0.4	101334.172	101347.218	101334.172	101478.16	130.9423	0	0	2540.97	0	0	3
17	9	0	0.425	101333.761	101346.426	101333.761	101478.16	131.73386	0	0	2526.56	0	0	3
18	9	0	0.45	101333.56	101345.711	101333.56	101478.16	132.448657	0	0	2384.6	0	0	3
19	10	0	0.475	101333.448	101345.066	101333.448	101478.16	133.094082	0	0	2128.19	0	0	3
20	10	0	0.5	101333.217	101344.474	101333.217	101478.16	133.686514	0	0	1803.53	0	0	3
21	11	0	0.525	101333.241	101337.228	101333.217	101350.286	17.0690306	0	0	1526.27	0	0	3
22	11	0	0.55	101333.319	101336.379	101333.217	101346.705	13.4872133	0	0	1222.75	0	0	3
23	12	0	0.575	101333.466	101336.054	101333.217	101346.705	13.4872133	0	0	1079.84	0	0	3
24	12	0	0.6	101333.773	101335.787	101333.217	101346.705	13.4872133	0	0	1109.63	0	0	3
25	12	0	0.625	101334.176	101335.161	101333.217	101340.381	7.16407108	0	0	1251.88	0	0	3
26	13	0	0.65	101334.638	101334.874	101333.217	101338.756	5.53848781	0	0	1329.98	0	0	3
27	13	0	0.675	101335.282	101334.7	101333.217	101337.799	4.58117773	0	0	1393.81	0	0	3
28	14	0	0.7	101335.969	101334.609	101333.217	101337.605	4.3880311	0	0	1440.81	0	0	3
29	14	0	0.725	101336.755	101334.566	101333.217	101336.755	3.53785382	0	0	1473.4	0	0	3
30	14	0	0.75	101337.621	101334.635	101333.217	101337.621	4.40404472	0	0	1492.12	0	0	3
31	15	0	0.775	101338.4	101334.738	101333.217	101338.4	5.1826638	0	0	1492.75	0	0	3
32	15	0	0.8	101339.369	101334.933	101333.217	101339.369	6.15128856	0	0	1480.42	0	0	3
33	16	0	0.825	101340.359	101335.187	101333.217	101340.359	7.14184052	0	0	1458.12	0	0	3
34	16	0	0.85	101341.265	101335.516	101333.217	101341.265	8.04744	0	0	1425.52	0	0	3
35	16	0	0.875	101342.11	101335.895	101333.217	101342.11	8.89226172	0	0	1387.08	0	0	3
36	17	0	0.9	101342.697	101336.321	101333.217	101342.697	9.47985319	0	0	1354.55	0	0	3
37	17	0	0.925	101343.234	101336.795	101333.217	101343.234	10.0162948	0	0	1318.63	0	0	3
38	18	0	0.95	101343.673	101337.301	101333.217	101343.673	10.4556644	0	0	1279.59	0	0	3
39	18	0	0.975	101343.954	101337.826	101333.217	101343.954	9.90743157	0	0	1239.74	0	0	3
40	18	0	1	101344.151	101338.373	101333.241	101344.151	3.80645215	1.79908635	47.2	1198.26	0	0	3
41	19	0	1.025	101344.245	101338.923	101333.319	101344.245	4.356648	1.79908635	41.2	1170.53	0	0	3
42	19	0	1.05	101344.326	101339.473	101333.466	101344.326	4.90698327	1.79908635	36.6	1142.33	0	0	3
43	20	0	1.075	101344.369	101340.018	101333.773	101344.369	5.4521251	1.79908635	32.9	1115.2	0	0	3
