Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.025	293.207322	293.207322	293.207322	293.207322	0	0	0	0.458444	0	0	3
2	3	0	0.05	293.206806	293.207064	293.206806	293.207322	0.000258135947	0	0	0.361191	0	0	3
3	4	0	0.075	293.206655	293.206928	293.206655	293.207322	0.000394665383	0	0	0.286954	0	0	3
4	4	0	0.1	293.20615	293.206733	293.20615	293.207322	0.000589163522	0	0	0.222973	0	0	3
5	5	0	0.125	293.205057	293.206398	293.205057	293.207322	0.000924343683	0	0	0.224207	0	0	3
6	5	0	0.15	293.203811	293.205967	293.203811	293.207322	0.00135544849	0	0	0.228751	0	0	3
7	5	0	0.175	293.202617	293.205488	293.202617	293.207322	0.00183402828	0	0	0.255027	0	0	3
8	6	0	0.2	293.201485	293.204988	293.201485	293.207322	0.00233442946	0	0	0.414325	0	0	3
9	6	0	0.225	293.20038	293.204476	293.20038	293.207322	0.00284641551	0	0	0.48229	0	0	3
10	6	0	0.25	293.19936	293.203964	293.19936	293.207322	0.0033579826	0	0	0.482041	0	0	3
11	7	0	0.275	293.198039	293.203426	293.198039	293.207322	0.00389665196	0	0	0.464805	0	0	3
12	7	0	0.3	293.196794	293.202873	293.196794	293.207322	0.00444931812	0	0	0.37265	0	0	3
13	8	0	0.325	293.195621	293.202315	293.195621	293.207322	0.00500717202	0	0	0.338127	0	0	3
14	8	0	0.35	293.194528	293.201759	293.194528	293.207322	0.00556337728	0	0	0.355625	0	0	3
15	8	0	0.375	293.193491	293.201208	293.193491	293.207322	0.0061145948	0	0	0.375986	0	0	3
16	9	0	0.4	293.192098	293.200638	293.192098	293.207322	0.00668393839	0	0	0.401604	0	0	3
17	9	0	0.425	293.190875	293.200064	293.190875	293.207322	0.0072582363	0	0	0.423912	0	0	3
18	9	0	0.45	293.189794	293.199494	293.189794	293.207322	0.00782880983	0	0	0.440453	0	0	3
19	10	0	0.475	293.188863	293.198934	293.188863	293.207322	0.00838829446	0	0	0.452039	0	0	3
20	10	0	0.5	293.188112	293.198393	293.188112	293.207322	0.00892941352	0	0	0.459608	0	0	3
21	11	0	0.525	293.18737	293.197395	293.18737	293.206806	0.00966891702	0	0	0.46555	0	0	3
22	11	0	0.55	293.187025	293.196406	293.187025	293.206655	0.0105214173	0	0	0.484164	0	0	3
23	12	0	0.575	293.186964	293.195422	293.186964	293.20615	0.0113114265	0	0	0.496729	0	0	3
24	12	0	0.6	293.18713	293.194471	293.186964	293.205057	0.0119272122	0	0	0.502738	0	0	3
25	12	0	0.625	293.187448	293.19359	293.186964	293.203811	0.0123765714	0	0	0.51569	0	0	3
26	13	0	0.65	293.18793	293.192796	293.186964	293.202617	0.0126920752	0	0	0.529549	0	0	3
27	13	0	0.675	293.188486	293.19209	293.186964	293.201485	0.0128982273	0	0	0.538787	0	0	3
28	14	0	0.7	293.189107	293.191471	293.186964	293.20038	0.0130051538	0	0	0.544209	0	0	3
29	14	0	0.725	293.189715	293.190938	293.186964	293.19936	0.0123957852	0	0	0.545812	0	0	3
30	14	0	0.75	293.190157	293.190477	293.186964	293.198039	0.011074526	0	0	0.54524	0	0	3
31	15	0	0.775	293.190408	293.190096	293.186964	293.196794	0.00982922571	0	0	0.544048	0	0	3
32	15	0	0.8	293.190656	293.189789	293.186964	293.195621	0.00865645273	0	0	0.542377	0	0	3
33	16	0	0.825	293.190805	293.189548	293.186964	293.194528	0.00756382598	0	0	0.540115	0	0	3
34	16	0	0.85	293.190998	293.189372	293.186964	293.193491	0.00652623144	0	0	0.53682	0	0	3
35	16	0	0.875	293.191006	293.189247	293.186964	293.192098	0.00513377929	0	0	0.533151	0	0	3
36	17	0	0.9	293.190712	293.189178	293.186964	293.191006	0.00404102123	0	0	0.528972	0	0	3
37	17	0	0.925	293.190596	293.189164	293.186964	293.191006	0.00404102123	0	0	0.527176	0	0	3
38	18	0	0.95	293.190641	293.189206	293.186964	293.191006	0.00404102123	0	0	0.531279	0	0	3
39	18	0	0.975	293.190768	293.189302	293.186964	293.191006	0.00404102123	0	0	0.535422	0	0	3
40	18	0	1	293.190848	293.189439	293.186964	293.191006	0.00404102123	0.00262650813	64.9	0.539948	0	0	3
41	19	0	1.025	293.190966	293.189618	293.186964	293.191006	0.00404102123	0.00262650813	64.9	0.548906	0	0	3
42	19	0	1.05	293.191015	293.189818	293.186964	293.191015	0.00405055867	0.00262650813	64.8	0.557179	0	0	3
43	20	0	1.075	293.190855	293.190012	293.18713	293.191015	0.00388466241	0.00262650813	67.6	0.556046	0	0	3
44	20	0	1.1	293.190768	293.190048	293.18713	293.191015	0.00388466241	0.00262650813	67.6	0.550175	0	0	3
45	20	0	1.125	293.190646	293.190216	293.187448	293.191015	0.0035670313	0.00262650813	73.6	0.54061	0	0	3
46	21	0	1.15	293.190638	293.190368	293.18793	293.191015	0.00308533204	0.00262650813	85.1	0.540287	0	0	3
47	21	0	1.175	293.190568	293.190493	293.188486	293.191015	0.00252925818	0.00262650813	100	0.540137	0	0	3
48	22	0	1.2	293.190627	293.190595	293.189107	293.191015	0.00190817597	0.00262650813	100	0.539178	0	0	3
49	22	0	1.225	293.190572	293.190665	293.189715	293.191015	0.00130019576	0.00262650813	100	0.539249	0	0	3
50	23	0	1.25	293.190662	293.19071	293.190157	293.191015	0.000857621159	0.00262650813	100	0.538051	0	0	3
51	23	0	1.275	293.190635	293.190733	293.190408	293.191015	0.000606559736	0.00262650813	100	0.538489	0	0	3
52	23	0	1.3	293.190724	293.190748	293.190568	293.191015	0.000446773508	0.00262650813	100	0.538238	0	0	3
53	24	0	1.325	293.190665	293.190748	293.190568	293.191015	0.000446773508	0.00262650813	100	0.53849	0	0	3
54	24	0	1.35	293.190758	293.190746	293.190568	293.191015	0.000446773508	0.00262650813	100	0.537849	0	0	3
55	25	0	1.375	293.190682	293.190731	293.190568	293.191015	0.000446773508	0.00262650813	100	0.538131	0	0	3
56	25	0	1.4	293.190704	293.190717	293.190568	293.191015	0.000446773508	0.00262650813	100	0.537203	0	0	3
57	25	0	1.425	293.190616	293.190712	293.190568	293.191015	0.000446773508	0.00262650813	100	0.537714	0	0	3
