Iteration	CPUTime	PhysTime	Travels	CourFact
1	3	0	0.025	0
2	3	0	0.05	0
3	4	0	0.075	0
4	4	0	0.1	0
5	5	0	0.125	0
6	5	0	0.15	0
7	5	0	0.175	0
8	6	0	0.2	0
9	6	0	0.225	0
10	6	0	0.25	0
11	7	0	0.275	0
12	7	0	0.3	0
13	8	0	0.325	0
14	8	0	0.35	0
15	8	0	0.375	0
16	9	0	0.4	0
17	9	0	0.425	0
18	9	0	0.45	0
19	10	0	0.475	0
20	10	0	0.5	0
21	11	0	0.525	0
22	11	0	0.55	0
23	12	0	0.575	0
24	12	0	0.6	0
25	12	0	0.625	0
26	13	0	0.65	0
27	13	0	0.675	0
28	14	0	0.7	0
29	14	0	0.725	0
30	14	0	0.75	0
31	15	0	0.775	0
32	15	0	0.8	0
33	16	0	0.825	0
34	16	0	0.85	0
35	16	0	0.875	0
36	17	0	0.9	0
37	17	0	0.925	0
38	18	0	0.95	0
39	18	0	0.975	0
40	18	0	1	0
41	19	0	1.025	0
42	19	0	1.05	0
43	20	0	1.075	0
44	20	0	1.1	0
45	20	0	1.125	0
46	21	0	1.15	0
47	21	0	1.175	0
48	22	0	1.2	0
49	22	0	1.225	0
50	23	0	1.25	0
51	23	0	1.275	0
52	23	0	1.3	0
53	24	0	1.325	0
54	24	0	1.35	0
55	25	0	1.375	0
56	25	0	1.4	0
57	25	0	1.425	0
